date,value
1998-02-01,17.4
1998-03-01,16.7
1998-04-01,15.4
1998-05-01,14.6
1998-06-01,15.5
1998-07-01,14.6
1998-08-01,15.5
1998-09-01,15.0
1998-10-01,16.0
1998-11-01,16.3
1998-12-01,16.7
1999-01-01,14.8
1999-02-01,14.4
1999-03-01,17.1
1999-04-01,17.8
1999-05-01,17.9
1999-06-01,17.2
1999-07-01,17.7
1999-08-01,15.7
1999-09-01,16.0
1999-10-01,15.3
1999-11-01,14.5
1999-12-01,14.0
2000-01-01,14.7
2000-02-01,14.3
2000-03-01,13.5
2000-04-01,13.4
2000-05-01,14.5
2000-06-01,14.0
2000-07-01,14.4
2000-08-01,15.6
2000-09-01,14.8
2000-10-01,15.3
2000-11-01,14.2
2000-12-01,15.2
2001-01-01,14.0
2001-02-01,15.2
2001-03-01,15.2
2001-04-01,14.8
2001-05-01,13.9
2001-06-01,14.5
2001-07-01,14.3
2001-08-01,13.5
2001-09-01,13.6
2001-10-01,13.6
2001-11-01,12.9
2001-12-01,13.2
2002-01-01,14.4
2002-02-01,13.0
2002-03-01,13.0
2002-04-01,14.4
2002-05-01,14.1
2002-06-01,14.0
2002-07-01,14.7
2002-08-01,14.4
2002-09-01,15.5
2002-10-01,16.5
2002-11-01,17.0
2002-12-01,16.6
2003-01-01,16.8
2003-02-01,19.3
2003-03-01,18.1
2003-04-01,18.5
2003-05-01,19.2
2003-06-01,20.2
2003-07-01,20.8
2003-08-01,20.7
2003-09-01,21.6
2003-10-01,20.7
2003-11-01,21.0
2003-12-01,20.4
2004-01-01,19.6
2004-02-01,18.1
2004-03-01,19.4
2004-04-01,19.1
2004-05-01,19.1
2004-06-01,17.5
2004-07-01,16.2
2004-08-01,15.3
2004-09-01,13.6
2004-10-01,13.9
2004-11-01,13.4
2004-12-01,14.0
2005-01-01,14.6
2005-02-01,14.1
2005-03-01,13.9
2005-04-01,14.0
2005-05-01,14.1
2005-06-01,14.6
2005-07-01,15.7
2005-08-01,16.3
2005-09-01,17.3
2005-10-01,17.9
2005-11-01,18.0
2005-12-01,18.3
2006-01-01,17.6
2006-02-01,19.2
2006-03-01,18.8
2006-04-01,18.8
2006-05-01,18.9
2006-06-01,19.0
2006-07-01,18.4
2006-08-01,18.4
2006-09-01,17.9
2006-10-01,16.8
2006-11-01,17.1
2006-12-01,16.8
2007-01-01,16.9
2007-02-01,15.8
2007-03-01,17.8
2007-04-01,17.3
2007-05-01,17.1
2007-06-01,16.7
2007-07-01,17.1
2007-08-01,18.5
2007-09-01,18.1
2007-10-01,18.4
2007-11-01,18.5
2007-12-01,18.4
2008-01-01,16.7
2008-02-01,18.9
2008-03-01,17.5
2008-04-01,16.3
2008-05-01,16.9
2008-06-01,18.1
2008-07-01,17.4
2008-08-01,16.4
2008-09-01,16.0
2008-10-01,15.3
2008-11-01,15.0
2008-12-01,14.8
2009-01-01,17.8
2009-02-01,18.8
2009-03-01,20.4
2009-04-01,25.5
2009-05-01,26.0
2009-06-01,25.7
2009-07-01,28.5
2009-08-01,28.4
2009-09-01,28.5
2009-10-01,29.3
2009-11-01,29.5
2009-12-01,29.7
2010-01-01,27.7
2010-02-01,26.1
2010-03-01,25.5
2010-04-01,22.5
2010-05-01,21.5
2010-06-01,21.0
2010-07-01,18.5
