date,value
2005-02-01,54.7
2005-03-01,54.5
2005-04-01,57.9
2005-05-01,56.7
2005-06-01,52.9
2005-07-01,51.7
2005-08-01,51.1
2005-09-01,52.6
2005-10-01,55.1
2005-11-01,54.1
2005-12-01,54.1
2006-01-01,54.3
2006-02-01,52.1
2006-03-01,52.1
2006-04-01,55.3
2006-05-01,58.1
2006-06-01,54.8
2006-07-01,54.1
2006-08-01,52.4
2006-09-01,53.1
2006-10-01,57.0
2006-11-01,54.7
2006-12-01,55.3
2007-01-01,54.8
2007-02-01,55.1
2007-03-01,53.1
2007-04-01,56.1
2007-05-01,58.6
2007-06-01,55.7
2007-07-01,54.5
2007-08-01,53.3
2007-09-01,54.0
2007-10-01,56.1
2007-11-01,53.2
2007-12-01,55.4
2008-01-01,55.3
2008-02-01,53.0
2008-03-01,53.4
2008-04-01,58.4
2008-05-01,59.2
2008-06-01,53.3
2008-07-01,52.0
2008-08-01,48.4
2008-09-01,48.4
2008-10-01,51.2
2008-11-01,44.6
2008-12-01,38.8
2009-01-01,41.2
2009-02-01,45.3
2009-03-01,49.0
2009-04-01,52.4
2009-05-01,53.5
2009-06-01,53.1
2009-07-01,53.2
2009-08-01,53.3
2009-09-01,54.0
2009-10-01,54.3
2009-11-01,55.2
2009-12-01,55.2
2010-01-01,56.6
2010-02-01,55.8
2010-03-01,52.0
2010-04-01,55.1
2010-05-01,55.7
2010-06-01,53.9
2010-07-01,52.1
2010-08-01,51.2
2010-09-01,51.7
2010-10-01,53.8
2010-11-01,54.7
2010-12-01,55.2
2011-01-01,53.9
2011-02-01,52.9
2011-03-01,52.2
2011-04-01,53.4
2011-05-01,52.9
2011-06-01,52.0
2011-07-01,50.9
2011-08-01,50.7
2011-09-01,50.9
2011-10-01,51.2
2011-11-01,50.4
2011-12-01,49.0
2012-01-01,50.3
2012-02-01,50.5
2012-03-01,51.0
2012-04-01,53.1
2012-05-01,53.3
2012-06-01,50.4
2012-07-01,50.2
2012-08-01,50.1
2012-09-01,49.2
2012-10-01,49.8
2012-11-01,50.2
2012-12-01,50.6
2013-01-01,50.6
2013-02-01,50.4
2013-03-01,50.1
2013-04-01,50.9
2013-05-01,50.6
2013-06-01,50.8
2013-07-01,50.1
2013-08-01,50.3
2013-09-01,51.0
2013-10-01,51.1
2013-11-01,51.4
2013-12-01,51.4
2014-01-01,51.0
2014-02-01,50.5
2014-03-01,50.2
2014-04-01,50.3
2014-05-01,50.4
2014-06-01,50.8
2014-07-01,51.0
2014-08-01,51.7
2014-09-01,51.1
2014-10-01,51.1
2014-11-01,50.8
2014-12-01,50.3
2015-01-01,50.1
2015-02-01,49.8
2015-03-01,49.9
2015-04-01,50.1
2015-05-01,50.1
2015-06-01,50.2
2015-07-01,50.2
2015-08-01,50.0
2015-09-01,49.7
2015-10-01,49.8
2015-11-01,49.8
2015-12-01,49.6
2016-01-01,49.7
2016-02-01,49.4
2016-03-01,49.0
2016-04-01,50.2
2016-05-01,50.1
2016-06-01,50.1
2016-07-01,50.0
2016-08-01,49.9
2016-09-01,50.4
2016-10-01,50.4
2016-11-01,51.2
2016-12-01,51.7
2017-01-01,51.4
2017-02-01,51.3
2017-03-01,51.6
2017-03-31,51.8
2017-04-30,51.2
2017-05-31,51.2
2017-06-30,51.7
2017-07-31,51.4
2017-08-31,51.7
2017-09-30,52.4
2017-10-31,51.6
2017-11-30,51.8
2017-12-31,51.6
2018-01-31,51.3
2018-02-28,50.3
2018-03-31,51.5
2018-04-30,51.4
2018-05-31,51.9
2018-06-30,51.5
2018-07-31,51.2
2018-08-31,51.3
2018-09-30,50.8
2018-10-31,50.2
2018-11-30,50.0
2018-12-31,49.4
2019-01-31,49.5
2019-02-28,49.2
2019-03-31,50.5
2019-04-30,50.1
2019-05-31,49.4
2019-06-30,49.4
2019-07-31,49.7
2019-08-31,49.5
2019-09-30,49.8
2019-10-31,49.3
2019-11-30,50.2
2019-12-31,50.2
2020-01-31,50.0
2020-02-29,35.7
2020-03-31,52.0
2020-04-30,50.8
2020-05-31,50.6
2020-06-30,50.9
2020-07-31,51.1
2020-08-31,51.0
2020-09-30,51.5
2020-10-31,51.4
2020-11-30,52.1
2020-12-31,51.9
2021-01-31,51.3
2021-02-28,50.6
2021-03-31,51.9
2021-04-30,51.1
2021-05-31,51.0
2021-06-30,50.9
2021-07-31,50.4
2021-08-31,50.1
2021-09-30,49.6
2021-10-31,49.2
2021-11-30,50.1
2021-12-31,50.3
2022-01-30,50.1
2022-03-01,50.2
2022-03-31,49.5
2022-04-30,47.4
2022-05-31,49.6
2022-06-30,50.2
2022-07-31,49.0
2022-08-31,49.4
2022-09-30,50.1
2022-10-31,49.2
2022-11-30,48.0
2022-12-31,47.0
2023-01-31,50.1
2023-03-01,52.6
2023-03-31,51.9
2023-04-30,49.2
2023-05-31,48.8
2023-06-30,49.0
2023-07-31,49.3
2023-08-31,49.7
2023-09-30,50.2
2023-10-31,49.5
2023-11-30,49.4
2023-12-31,49.0
2024-01-31,49.2
2024-03-01,49.1
2024-03-31,50.8
2024-04-30,50.4
2024-05-31,49.5
2024-06-30,49.5
2024-07-31,49.4
2024-08-31,49.1
2024-09-30,49.8
2024-10-31,50.1
2024-11-30,50.3
2024-12-31,50.1
2025-01-27,49.1
2025-03-01,50.2
2025-03-31,50.5
2025-04-30,49.0
2025-05-31,49.5
2025-06-30,49.7
2025-07-31,49.3
2025-08-31,49.4
