source,title,time,code,name,url,date
eastmoney,富创精密,1970-01-01 00:00:00.000000274,688409,富创精密,,1970-01-01
eastmoney,骄成超声,1970-01-01 00:00:00.000000208,688392,骄成超声,,1970-01-01
eastmoney,珂玛科技,1970-01-01 00:00:00.000000173,301611,珂玛科技,,1970-01-01
eastmoney,华海诚科,1970-01-01 00:00:00.000000170,688535,华海诚科,,1970-01-01
eastmoney,沃尔德,1970-01-01 00:00:00.000000144,688028,沃尔德,,1970-01-01
eastmoney,新莱应材,1970-01-01 00:00:00.000000097,300260,新莱应材,,1970-01-01
eastmoney,海川智能,1970-01-01 00:00:00.000000092,300720,海川智能,,1970-01-01
eastmoney,深科达,1970-01-01 00:00:00.000000089,688328,深科达,,1970-01-01
eastmoney,N惠科,1970-01-01 00:00:00.000000076,001399,N惠科,,1970-01-01
eastmoney,信德新材,1970-01-01 00:00:00.000000075,301349,信德新材,,1970-01-01
eastmoney,电科蓝天,1970-01-01 00:00:00.000000073,688818,电科蓝天,,1970-01-01
eastmoney,杰恩股份,1970-01-01 00:00:00.000000067,300668,杰恩股份,,1970-01-01
eastmoney,安博通,1970-01-01 00:00:00.000000065,688168,安博通,,1970-01-01
eastmoney,百诚医药,1970-01-01 00:00:00.000000060,301096,百诚医药,,1970-01-01
eastmoney,正帆科技,1970-01-01 00:00:00.000000056,688596,正帆科技,,1970-01-01
eastmoney,祥鑫科技,1970-01-01 00:00:00.000000051,002965,祥鑫科技,,1970-01-01
eastmoney,上海瀚讯,1970-01-01 00:00:00.000000046,300762,上海瀚讯,,1970-01-01
eastmoney,软通动力,1970-01-01 00:00:00.000000043,301236,软通动力,,1970-01-01
eastmoney,富吉瑞,1970-01-01 00:00:00.000000038,688272,富吉瑞,,1970-01-01
eastmoney,康强电子,1970-01-01 00:00:00.000000037,002119,康强电子,,1970-01-01
eastmoney,上海合晶,1970-01-01 00:00:00.000000034,688584,上海合晶,,1970-01-01
eastmoney,金春股份,1970-01-01 00:00:00.000000032,300877,金春股份,,1970-01-01
eastmoney,有研硅,1970-01-01 00:00:00.000000030,688432,有研硅,,1970-01-01
eastmoney,蜀道装备,1970-01-01 00:00:00.000000030,300540,蜀道装备,,1970-01-01
eastmoney,路德科技,1970-01-01 00:00:00.000000030,688156,路德科技,,1970-01-01
eastmoney,国投中鲁,1970-01-01 00:00:00.000000029,600962,国投中鲁,,1970-01-01
eastmoney,顶固集创,1970-01-01 00:00:00.000000028,300749,顶固集创,,1970-01-01
eastmoney,超声电子,1970-01-01 00:00:00.000000028,000823,超声电子,,1970-01-01
eastmoney,神农集团,1970-01-01 00:00:00.000000027,605296,神农集团,,1970-01-01
eastmoney,金房能源,1970-01-01 00:00:00.000000023,001210,金房能源,,1970-01-01
eastmoney,信濠光电,1970-01-01 00:00:00.000000020,301051,信濠光电,,1970-01-01
eastmoney,五方光电,1970-01-01 00:00:00.000000019,002962,五方光电,,1970-01-01
eastmoney,华凯易佰,1970-01-01 00:00:00.000000017,300592,华凯易佰,,1970-01-01
eastmoney,龙源电力,1970-01-01 00:00:00.000000017,001289,龙源电力,,1970-01-01
eastmoney,宏柏新材,1970-01-01 00:00:00.000000014,605366,宏柏新材,,1970-01-01
eastmoney,晨光新材,1970-01-01 00:00:00.000000014,605399,晨光新材,,1970-01-01
eastmoney,白云电器,1970-01-01 00:00:00.000000014,603861,白云电器,,1970-01-01
eastmoney,亚威股份,1970-01-01 00:00:00.000000012,002559,亚威股份,,1970-01-01
eastmoney,中持股份,1970-01-01 00:00:00.000000012,603903,中持股份,,1970-01-01
eastmoney,海默科技,1970-01-01 00:00:00.000000012,300084,海默科技,,1970-01-01
eastmoney,长信科技,1970-01-01 00:00:00.000000012,300088,长信科技,,1970-01-01
eastmoney,庄园牧场,1970-01-01 00:00:00.000000012,002910,庄园牧场,,1970-01-01
eastmoney,雷曼光电,1970-01-01 00:00:00.000000012,300162,雷曼光电,,1970-01-01
eastmoney,TCL中环,1970-01-01 00:00:00.000000011,002129,TCL中环,,1970-01-01
eastmoney,川大智胜,1970-01-01 00:00:00.000000010,002253,川大智胜,,1970-01-01
eastmoney,佳创视讯,1970-01-01 00:00:00.000000009,300264,佳创视讯,,1970-01-01
eastmoney,宏川智慧,1970-01-01 00:00:00.000000009,002930,宏川智慧,,1970-01-01
eastmoney,卓郎智能,1970-01-01 00:00:00.000000007,600545,卓郎智能,,1970-01-01
eastmoney,节能风电,1970-01-01 00:00:00.000000003,601016,节能风电,,1970-01-01
eastmoney,*ST开元,1970-01-01 00:00:00.000000003,300338,*ST开元,,1970-01-01
