date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,3.679,3.727,3.677,3.705,627623614,2603983236,0.0,,510300
2020-01-02,3.711,3.716,3.69,3.696,469673776,1948030083,0.0,-0.24291497975708065,510300
2020-01-05,3.684,3.724,3.655,3.681,666504783,2760524448,0.0,-0.40584415584415945,510300
2020-01-06,3.691,3.714,3.686,3.71,464959513,1927362283,0.0,0.7878293941863568,510300
2020-01-07,3.692,3.705,3.658,3.673,562852067,2321782204,0.0,-0.9973045822102455,510300
2020-01-08,3.695,3.719,3.691,3.713,394431722,1636905845,0.0,1.0890280424720844,510300
2020-01-09,3.719,3.729,3.7,3.712,379555000,1576677929,0.0,-0.026932399676804497,510300
2020-01-12,3.711,3.755,3.697,3.752,373639185,1558366390,0.0,1.0775862068965303,510300
2020-01-13,3.752,3.77,3.732,3.736,409962842,1723090045,0.0,-0.4264392324093702,510300
2020-01-14,3.736,3.741,3.701,3.707,319607409,1330016015,0.0,-0.7762312633833091,510300
2020-01-15,3.714,3.717,3.692,3.702,416297801,1726422321,0.0,-0.13487995683840737,510300
2020-01-16,3.707,3.728,3.694,3.706,321627384,1335598763,0.0,0.10804970286331095,510300
2020-01-19,3.711,3.735,3.698,3.733,353488249,1472153087,0.0,0.7285483000539772,510300
2020-01-20,3.717,3.717,3.661,3.665,618294600,2548564521,0.0,-1.8215912135012058,510300
2020-01-21,3.651,3.69,3.602,3.678,907393261,3709564742,0.0,0.3547066848567537,510300
2020-01-22,3.644,3.652,3.532,3.568,753583400,3042046038,0.0,-2.990755845568238,510300
2020-02-02,3.33,3.336,3.247,3.267,1471075772,5431562760,0.0,-8.436098654708523,510300
2020-02-03,3.259,3.372,3.258,3.366,735843705,2749866008,0.0,3.0303030303030276,510300
2020-02-04,3.379,3.442,3.364,3.399,553287488,2109910833,0.0,0.9803921568627416,510300
2020-02-05,3.414,3.494,3.39,3.48,527965212,2038967051,0.0,2.383053839364524,510300
2020-02-06,3.455,3.475,3.432,3.472,346989051,1340754089,0.0,-0.22988505747126853,510300
2020-02-09,3.454,3.491,3.439,3.483,398519147,1549146625,0.0,0.31682027649770905,510300
2020-02-10,3.49,3.536,3.489,3.521,422258801,1663318182,0.0,1.091013494114268,510300
2020-02-11,3.517,3.551,3.509,3.546,290783451,1150842638,0.0,0.7100255609201911,510300
2020-02-12,3.545,3.558,3.516,3.527,325961046,1290560943,0.0,-0.5358150028200726,510300
2020-02-13,3.522,3.567,3.521,3.551,313979347,1247221633,0.0,0.6804649844060151,510300
2020-02-16,3.559,3.634,3.559,3.629,581140084,2345003457,0.0,2.196564348070962,510300
2020-02-17,3.622,3.627,3.582,3.606,709950982,2867046795,0.0,-0.6337834114081065,510300
2020-02-18,3.604,3.633,3.597,3.607,440377238,1783390983,0.0,0.02773155851358844,510300
2020-02-19,3.621,3.7,3.606,3.689,605241099,2472181763,0.0,2.2733573606875446,510300
2020-02-20,3.681,3.73,3.676,3.701,444470153,1839049777,0.0,0.32529140688533076,510300
2020-02-23,3.681,3.693,3.645,3.672,372727289,1532512765,0.0,-0.783572007565525,510300
2020-02-24,3.617,3.675,3.582,3.664,603830762,2459159333,0.0,-0.21786492374727962,510300
2020-02-25,3.629,3.677,3.614,3.634,641793391,2617010934,0.0,-0.8187772925764225,510300
2020-02-26,3.646,3.658,3.626,3.635,475330532,1938047426,0.0,0.02751788662629373,510300
2020-02-27,3.58,3.589,3.504,3.512,560071042,2224760713,0.0,-3.3837689133424997,510300
2020-03-01,3.525,3.652,3.525,3.639,426683708,1721101323,0.0,3.616173120728927,510300
2020-03-02,3.676,3.696,3.621,3.637,408776061,1677225022,0.0,-0.05496015388842812,510300
2020-03-03,3.63,3.664,3.614,3.663,295453297,1204615735,0.0,0.7148748968930363,510300
2020-03-04,3.706,3.757,3.671,3.75,547831292,2282136998,0.0,2.375102375102389,510300
2020-03-05,3.721,3.722,3.676,3.68,249987729,1035853463,0.0,-1.866666666666661,510300
2020-03-08,3.632,3.632,3.555,3.563,423642354,1701717889,0.0,-3.1793478260869534,510300
2020-03-09,3.564,3.65,3.521,3.641,859648156,3457073174,0.0,2.189166432781353,510300
2020-03-10,3.641,3.641,3.58,3.581,703269381,2845979722,0.0,-1.6478989288656987,510300
2020-03-11,3.547,3.549,3.499,3.525,388119218,1531041364,0.0,-1.563808991901705,510300
2020-03-12,3.422,3.509,3.348,3.472,717892899,2753021876,0.0,-1.5035460992907757,510300
2020-03-15,3.469,3.469,3.318,3.327,571080084,2168080979,0.0,-4.176267281105995,510300
2020-03-16,3.356,3.382,3.228,3.297,985255849,3645999364,0.0,-0.9017132551848439,510300
2020-03-17,3.309,3.36,3.238,3.242,783304767,2903199190,0.0,-1.6681831968456184,510300
2020-03-18,3.245,3.256,3.118,3.211,1248163833,4456146356,0.0,-0.9561998766193791,510300
2020-03-19,3.225,3.265,3.198,3.254,678689518,2456318768,0.0,1.3391466832762378,510300
2020-03-22,3.161,3.198,3.137,3.148,807278071,2858519649,0.0,-3.2575291948371166,510300
2020-03-23,3.205,3.235,3.157,3.224,832898539,2993488749,0.0,2.414231257941557,510300
2020-03-24,3.297,3.322,3.277,3.309,1010083600,3732548148,0.0,2.636476426799006,510300
2020-03-25,3.289,3.323,3.277,3.289,355654180,1314493551,0.0,-0.6044122091266257,510300
2020-03-26,3.33,3.352,3.302,3.304,491544293,1829774379,0.0,0.45606567345697346,510300
2020-03-29,3.267,3.29,3.241,3.273,497134429,1817215400,0.0,-0.9382566585956376,510300
2020-03-30,3.306,3.309,3.268,3.276,374003032,1377646905,0.0,0.09165902841428153,510300
2020-03-31,3.272,3.324,3.263,3.28,355438884,1309936605,0.0,0.12210012210012167,510300
2020-04-01,3.266,3.329,3.251,3.324,463048932,1702317215,0.0,1.3414634146341475,510300
2020-04-02,3.313,3.325,3.289,3.301,324717000,1202415071,0.0,-0.6919374247894017,510300
2020-04-06,3.357,3.387,3.355,3.375,546740521,2064202708,0.0,2.241744925780065,510300
2020-04-07,3.363,3.374,3.35,3.362,221917490,835369077,0.0,-0.3851851851851773,510300
2020-04-08,3.376,3.382,3.366,3.372,328543624,1241868021,0.0,0.2974419988102328,510300
2020-04-09,3.372,3.404,3.345,3.361,464247186,1752635038,0.0,-0.326215895610904,510300
2020-04-12,3.348,3.355,3.332,3.342,246696931,923357829,0.0,-0.565307944064275,510300
2020-04-13,3.357,3.4,3.353,3.397,376124777,1423412717,0.0,1.645721125074795,510300
2020-04-14,3.397,3.405,3.376,3.378,239200804,907994642,0.0,-0.5593170444509799,510300
2020-04-15,3.366,3.39,3.363,3.38,227317249,859202032,0.0,0.059206631142671995,510300
2020-04-16,3.405,3.433,3.402,3.41,570480887,2183824470,0.0,0.887573964497057,510300
2020-04-19,3.416,3.425,3.405,3.424,382296046,1463235135,0.0,0.4105571847507372,510300
2020-04-20,3.411,3.415,3.366,3.389,292757173,1110170605,0.0,-1.022196261682251,510300
2020-04-21,3.374,3.42,3.368,3.419,345671032,1313936907,0.0,0.8852168781351422,510300
2020-04-22,3.422,3.43,3.404,3.413,201520738,771450450,0.0,-0.17548990933021757,510300
2020-04-23,3.399,3.404,3.373,3.384,305829499,1159836790,0.0,-0.8496923527688272,510300
2020-04-26,3.386,3.422,3.381,3.399,309460942,1180911446,0.0,0.44326241134751143,510300
2020-04-27,3.411,3.432,3.354,3.421,422865548,1614577806,0.0,0.6472491909385036,510300
2020-04-28,3.416,3.451,3.414,3.439,277834908,1069637523,0.0,0.5261619409529406,510300
2020-04-29,3.451,3.497,3.449,3.489,527998051,2059990937,0.0,1.4539110206455375,510300
2020-05-05,3.451,3.505,3.447,3.498,383453463,1490004472,0.0,0.2579535683577161,510300
2020-05-06,3.498,3.505,3.481,3.492,274638833,1073971198,0.0,-0.17152658662092923,510300
2020-05-07,3.508,3.547,3.506,3.53,370674288,1464209061,0.0,1.0882016036655173,510300
2020-05-10,3.535,3.564,3.514,3.523,412309647,1634097108,0.0,-0.1983002832861125,510300
2020-05-11,3.524,3.536,3.497,3.522,586605193,2310845675,0.0,-0.028384899233613314,510300
2020-05-12,3.512,3.536,3.5,3.53,278396942,1096626960,0.0,0.22714366837024436,510300
2020-05-13,3.518,3.518,3.497,3.501,300179639,1178568299,0.0,-0.821529745042493,510300
2020-05-14,3.507,3.518,3.483,3.484,543570346,2129155228,0.0,-0.4855755498428982,510300
2020-05-17,3.483,3.516,3.475,3.495,302052954,1184460537,0.0,0.31572904707233285,510300
2020-05-18,3.527,3.533,3.511,3.521,278121100,1096942157,0.0,0.7439198855507811,510300
2020-05-19,3.518,3.522,3.5,3.506,197561843,777073054,0.0,-0.4260153365521213,510300
2020-05-20,3.512,3.518,3.481,3.483,236523366,926829389,0.0,-0.6560182544209869,510300
2020-05-21,3.48,3.48,3.405,3.406,532861629,2048425731,0.0,-2.2107378696526014,510300
2020-05-24,3.404,3.419,3.39,3.408,250559675,955690447,0.0,0.05871990604815469,510300
2020-05-25,3.423,3.452,3.423,3.449,475110838,1829472410,0.0,1.2030516431924765,510300
2020-05-26,3.449,3.45,3.422,3.433,231199608,889357448,0.0,-0.4639025804581087,510300
2020-05-27,3.435,3.468,3.406,3.438,284073116,1093611518,0.0,0.14564520827264893,510300
2020-05-28,3.42,3.455,3.414,3.452,250919820,966708845,0.0,0.40721349621872793,510300
2020-05-31,3.48,3.55,3.478,3.543,350928902,1385589758,0.0,2.6361529548088125,510300
2020-06-01,3.543,3.562,3.536,3.553,162838185,647069165,0.0,0.28224668360146143,510300
2020-06-02,3.57,3.589,3.55,3.552,365752469,1461404414,0.0,-0.028145229383613746,510300
2020-06-03,3.564,3.567,3.54,3.554,281384424,1119665735,0.0,0.05630630630630851,510300
2020-06-04,3.553,3.575,3.54,3.574,201359632,801832963,0.0,0.562746201463149,510300
2020-06-07,3.589,3.614,3.582,3.591,285603662,1149881973,0.0,0.4756575265808749,510300
2020-06-08,3.593,3.616,3.583,3.615,294492489,1189397524,0.0,0.6683375104427736,510300
2020-06-09,3.612,3.613,3.596,3.607,318357157,1285096270,0.0,-0.22130013831258566,510300
2020-06-10,3.601,3.616,3.557,3.574,305193298,1226496439,0.0,-0.9148877183254855,510300
2020-06-11,3.538,3.592,3.52,3.583,309073335,1230613931,0.0,0.2518186905428266,510300
2020-06-14,3.555,3.58,3.531,3.532,280526100,1117257834,0.0,-1.4233882221602046,510300
2020-06-15,3.567,3.589,3.564,3.588,247695273,992947047,0.0,1.5855039637599155,510300
2020-06-16,3.589,3.592,3.568,3.591,279025595,1118948762,0.0,0.08361204013378476,510300
2020-06-17,3.583,3.621,3.576,3.619,343002705,1385004401,0.0,0.7797270955165692,510300
2020-06-18,3.616,3.683,3.616,3.665,369563643,1514130382,0.0,1.2710693561757358,510300
2020-06-21,3.665,3.697,3.658,3.669,521244200,2146227183,0.0,0.10914051841746097,510300
2020-06-22,3.661,3.69,3.648,3.686,398167830,1638145515,0.0,0.463341509948223,510300
2020-06-23,3.695,3.721,3.693,3.718,457942198,1899221459,0.0,0.8681497558328921,510300
2020-06-28,3.705,3.714,3.666,3.686,212654964,876863744,0.0,-0.8606777837547042,510300
2020-06-29,3.704,3.743,3.702,3.73,542468494,2264019132,0.0,1.1937059142702156,510300
2020-06-30,3.739,3.818,3.735,3.814,574064113,2425293927,0.0,2.252010723860587,510300
2020-07-01,3.813,3.906,3.806,3.902,550437787,2380221137,0.0,2.307288935500784,510300
2020-07-02,3.916,3.986,3.901,3.98,586768714,2583513174,0.0,1.9989748846745314,510300
2020-07-05,4.042,4.285,4.025,4.272,929317489,4319345422,0.0,7.336683417085443,510300
2020-07-06,4.305,4.331,4.218,4.229,1074501897,5140703744,0.0,-1.0065543071161032,510300
2020-07-07,4.227,4.32,4.204,4.284,903486859,4300342496,0.0,1.3005438637975875,510300
2020-07-08,4.282,4.361,4.25,4.35,642434179,3104867386,0.0,1.540616246498594,510300
2020-07-09,4.32,4.337,4.253,4.272,564416770,2719824198,0.0,-1.7931034482758457,510300
2020-07-12,4.27,4.399,4.265,4.362,824378259,4008141929,0.0,2.106741573033699,510300
2020-07-13,4.355,4.374,4.255,4.323,737641416,3569719096,0.0,-0.8940852819807388,510300
2020-07-14,4.339,4.371,4.255,4.272,662402942,3200591192,0.0,-1.179736294240119,510300
2020-07-15,4.277,4.311,4.063,4.068,1289918063,6024138887,0.0,-4.775280898876422,510300
2020-07-16,4.08,4.155,4.055,4.112,904292349,4154619226,0.0,1.0816125860373837,510300
2020-07-19,4.149,4.232,4.094,4.221,724976202,3384863206,0.0,2.650778210116722,510300
2020-07-20,4.24,4.254,4.206,4.231,465350651,2204859169,0.0,0.23691068467186494,510300
2020-07-21,4.225,4.336,4.222,4.279,705437207,3385495850,0.0,1.1344835736232683,510300
2020-07-22,4.234,4.276,4.163,4.256,430577055,2037385932,0.0,-0.5375087637298326,510300
2020-07-23,4.22,4.234,4.042,4.066,648282022,3002698170,0.0,-4.464285714285721,510300
2020-07-26,4.092,4.122,4.051,4.091,311101401,1424772722,0.0,0.6148548942449761,510300
2020-07-27,4.121,4.144,4.096,4.122,374257289,1726997386,0.0,0.7577609386457906,510300
2020-07-28,4.112,4.244,4.106,4.24,488385416,2295204610,0.0,2.862688015526449,510300
2020-07-29,4.241,4.247,4.205,4.209,297474433,1407409977,0.0,-0.7311320754717077,510300
2020-07-30,4.205,4.294,4.172,4.241,518524684,2461206603,0.0,0.7602755999049693,510300
2020-08-02,4.277,4.312,4.261,4.308,434393304,2085189584,0.0,1.5798160811129502,510300
2020-08-03,4.33,4.342,4.289,4.312,311402501,1504562149,0.0,0.09285051067782213,510300
2020-08-04,4.306,4.326,4.251,4.314,300697444,1444229400,0.0,0.04638218923933568,510300
2020-08-05,4.314,4.332,4.239,4.297,224666975,1078135870,0.0,-0.39406583217432845,510300
2020-08-06,4.289,4.29,4.197,4.255,343055100,1633338710,0.0,-0.9774261112403981,510300
2020-08-09,4.226,4.302,4.192,4.269,240425812,1145210281,0.0,0.3290246768507643,510300
2020-08-10,4.272,4.331,4.22,4.227,248052945,1192172419,0.0,-0.9838369641602229,510300
2020-08-11,4.219,4.232,4.127,4.198,424060538,1982239077,0.0,-0.6860657676839299,510300
2020-08-12,4.21,4.218,4.177,4.185,197805792,929510040,0.0,-0.30967127203431755,510300
2020-08-13,4.186,4.268,4.17,4.266,422185608,2003224522,0.0,1.935483870967758,510300
2020-08-16,4.284,4.384,4.271,4.355,563474986,2736783499,0.0,2.0862634786685597,510300
2020-08-17,4.359,4.368,4.325,4.348,349311764,1701347304,0.0,-0.16073478760046944,510300
2020-08-18,4.346,4.349,4.278,4.281,405819093,1960455849,0.0,-1.5409383624655049,510300
2020-08-19,4.259,4.269,4.217,4.235,344280792,1635643695,0.0,-1.0745153001635033,510300
2020-08-20,4.256,4.292,4.236,4.271,289329087,1383398799,0.0,0.8500590318772039,510300
2020-08-23,4.29,4.314,4.266,4.297,415934500,2001903982,0.0,0.6087567314446263,510300
2020-08-24,4.309,4.348,4.289,4.306,216133254,1045169798,0.0,0.20944845240866705,510300
2020-08-25,4.303,4.33,4.239,4.253,334981700,1602850783,0.0,-1.2308406874129152,510300
2020-08-26,4.258,4.287,4.232,4.285,207431486,990307792,0.0,0.7524100634846098,510300
2020-08-27,4.28,4.397,4.266,4.39,554996485,2700358154,0.0,2.450408401400228,510300
2020-08-30,4.415,4.436,4.348,4.352,488697161,2411052931,0.0,-0.8656036446469062,510300
