date,open,high,low,close,volume
2016-11-03,5.487,5.57,5.485,5.53,108389.0
2016-11-04,5.516,5.553,5.502,5.512,78242.0
2016-11-07,5.505,5.534,5.492,5.516,102667.0
2016-11-08,5.527,5.567,5.526,5.556,208551.0
2016-11-09,5.556,5.563,5.444,5.501,266876.0
2016-11-10,5.544,5.588,5.544,5.588,159776.0
2016-11-11,5.583,5.639,5.573,5.635,168747.0
2016-11-14,5.626,5.688,5.618,5.647,169334.0
2016-11-15,5.661,5.677,5.638,5.669,171491.0
2016-11-16,5.673,5.695,5.67,5.675,53952.0
2016-11-17,5.669,5.684,5.64,5.676,98764.0
2016-11-18,5.676,5.681,5.633,5.648,58227.0
2016-11-21,5.644,5.695,5.63,5.647,106847.0
2016-11-22,5.651,5.706,5.651,5.702,101603.0
2016-11-23,5.714,5.715,5.657,5.664,94522.0
2016-11-24,5.656,5.688,5.64,5.653,147759.0
2016-11-25,5.654,5.691,5.575,5.682,191800.0
2016-11-28,5.688,5.726,5.678,5.699,95682.0
2016-11-29,5.698,5.711,5.657,5.664,123595.0
2016-11-30,5.653,5.662,5.61,5.627,163162.0
2016-12-01,5.626,5.668,5.626,5.662,170339.0
2016-12-02,5.64,5.659,5.565,5.566,155824.0
2016-12-05,5.522,5.568,5.504,5.527,169860.0
2016-12-06,5.541,5.561,5.53,5.535,84948.0
2016-12-07,5.535,5.607,5.532,5.606,74265.0
2016-12-08,5.6,5.605,5.571,5.576,63560.0
2016-12-09,5.558,5.581,5.554,5.56,95537.0
2016-12-12,5.548,5.572,5.314,5.32,401528.0
2016-12-13,5.319,5.351,5.267,5.337,213071.0
2016-12-14,5.337,5.355,5.289,5.302,139453.0
2016-12-15,5.295,5.372,5.276,5.337,160424.0
2016-12-16,5.337,5.385,5.329,5.374,121683.0
2016-12-19,5.377,5.389,5.352,5.379,215356.0
2016-12-20,5.379,5.386,5.33,5.354,77951.0
2016-12-21,5.362,5.405,5.362,5.401,125834.0
2016-12-22,5.396,5.404,5.37,5.392,85704.0
2016-12-23,5.392,5.398,5.343,5.351,76526.0
2016-12-26,5.351,5.356,5.275,5.353,195441.0
2016-12-27,5.356,5.372,5.348,5.364,158096.0
2016-12-28,5.354,5.364,5.324,5.337,103677.0
2016-12-29,5.317,5.356,5.317,5.334,69761.0
2016-12-30,5.322,5.354,5.317,5.332,86025.0
2017-01-03,5.336,5.391,5.336,5.382,66441.0
2017-01-04,5.384,5.461,5.365,5.453,162320.0
2017-01-05,5.453,5.462,5.443,5.45,83786.0
2017-01-06,5.441,5.45,5.42,5.423,62261.0
2017-01-09,5.416,5.469,5.413,5.468,59915.0
2017-01-10,5.468,5.474,5.439,5.446,81876.0
2017-01-11,5.452,5.459,5.391,5.399,89530.0
2017-01-12,5.397,5.405,5.325,5.329,140762.0
2017-01-13,5.33,5.345,5.257,5.266,205577.0
2017-01-16,5.262,5.262,4.97,5.105,214418.0
2017-01-17,5.107,5.155,5.042,5.153,141414.0
2017-01-18,5.153,5.186,5.126,5.157,301667.0
2017-01-19,5.148,5.167,5.12,5.138,180682.0
2017-01-20,5.12,5.218,5.12,5.208,171704.0
2017-01-23,5.195,5.264,5.195,5.262,119904.0
2017-01-24,5.251,5.267,5.229,5.238,78741.0
2017-01-25,5.22,5.27,5.22,5.26,49481.0
2017-01-26,5.269,5.299,5.262,5.298,47475.0
2017-02-03,5.299,5.315,5.256,5.28,69967.0
2017-02-06,5.281,5.33,5.268,5.329,75507.0
2017-02-07,5.319,5.33,5.283,5.32,107213.0
2017-02-08,5.312,5.359,5.282,5.358,58064.0
2017-02-09,5.361,5.391,5.345,5.386,69203.0
2017-02-10,5.393,5.408,5.379,5.399,98175.0
2017-02-13,5.406,5.424,5.386,5.421,104930.0
2017-02-14,5.419,5.431,5.399,5.426,88102.0
2017-02-15,5.422,5.436,5.365,5.372,68904.0
2017-02-16,5.37,5.422,5.369,5.409,85992.0
2017-02-17,5.408,5.423,5.358,5.369,73543.0
2017-02-20,5.369,5.448,5.368,5.444,62009.0
2017-02-21,5.432,5.494,5.432,5.489,89040.0
2017-02-22,5.499,5.523,5.477,5.516,176141.0
2017-02-23,5.517,5.529,5.488,5.525,78809.0
2017-02-24,5.521,5.527,5.5,5.527,103509.0
2017-02-27,5.516,5.527,5.47,5.478,92902.0
2017-02-28,5.478,5.5,5.464,5.498,85565.0
2017-03-01,5.489,5.539,5.485,5.517,204829.0
2017-03-02,5.509,5.532,5.476,5.489,134971.0
2017-03-03,5.461,5.513,5.454,5.502,139529.0
2017-03-06,5.532,5.564,5.505,5.558,161567.0
2017-03-07,5.553,5.578,5.532,5.573,125484.0
2017-03-08,5.558,5.59,5.536,5.551,68834.0
2017-03-09,5.549,5.549,5.478,5.481,109504.0
2017-03-10,5.48,5.513,5.48,5.499,99091.0
2017-03-13,5.492,5.564,5.463,5.563,126199.0
2017-03-14,5.565,5.568,5.524,5.535,123167.0
2017-03-15,5.528,5.546,5.513,5.53,110068.0
2017-03-16,5.536,5.592,5.532,5.583,217857.0
2017-03-17,5.588,5.594,5.521,5.523,239094.0
2017-03-20,5.521,5.543,5.499,5.543,122933.0
2017-03-21,5.539,5.57,5.524,5.568,143384.0
2017-03-22,5.563,5.563,5.505,5.546,116739.0
2017-03-23,5.542,5.585,5.5,5.558,115342.0
2017-03-24,5.558,5.605,5.544,5.596,153329.0
2017-03-27,5.596,5.602,5.558,5.56,106496.0
2017-03-28,5.557,5.571,5.533,5.547,155322.0
2017-03-29,5.543,5.565,5.504,5.527,208954.0
2017-03-30,5.509,5.522,5.432,5.438,288311.0
2017-03-31,5.432,5.46,5.426,5.449,225082.0
2017-04-05,5.493,5.606,5.493,5.599,305948.0
2017-04-06,5.6,5.606,5.572,5.598,133714.0
2017-04-07,5.598,5.631,5.576,5.608,268233.0
2017-04-10,5.604,5.625,5.592,5.602,195809.0
2017-04-11,5.601,5.67,5.564,5.669,150921.0
2017-04-12,5.67,5.677,5.613,5.622,140865.0
2017-04-13,5.617,5.673,5.608,5.657,90348.0
2017-04-14,5.653,5.657,5.574,5.577,210633.0
2017-04-17,5.562,5.563,5.499,5.509,184407.0
2017-04-18,5.5,5.544,5.472,5.482,122261.0
2017-04-19,5.459,5.469,5.365,5.413,405139.0
2017-04-20,5.417,5.439,5.378,5.411,228585.0
2017-04-21,5.405,5.43,5.365,5.375,158051.0
2017-04-24,5.359,5.36,5.218,5.22,870702.0
2017-04-25,5.22,5.276,5.22,5.237,195797.0
2017-04-26,5.232,5.269,5.225,5.248,84958.0
2017-04-27,5.237,5.28,5.145,5.268,314393.0
2017-04-28,5.267,5.289,5.251,5.287,132021.0
2017-05-02,5.286,5.29,5.263,5.281,151297.0
2017-05-03,5.276,5.303,5.255,5.276,79205.0
2017-05-04,5.264,5.313,5.235,5.249,122499.0
2017-05-05,5.24,5.245,5.182,5.185,316459.0
2017-05-08,5.179,5.179,5.078,5.082,387823.0
2017-05-09,5.068,5.106,5.026,5.103,257398.0
2017-05-10,5.101,5.126,4.998,5.0,287336.0
2017-05-11,4.992,4.993,4.849,4.984,786633.0
2017-05-12,4.974,4.984,4.926,4.969,271878.0
2017-05-15,4.98,5.023,4.98,4.996,155600.0
2017-05-16,4.998,5.117,4.943,5.109,360260.0
2017-05-17,5.109,5.154,5.101,5.124,264928.0
2017-05-18,5.089,5.129,5.063,5.072,274262.0
2017-05-19,5.072,5.09,5.047,5.07,136616.0
2017-05-22,5.068,5.091,4.983,4.99,277141.0
2017-05-23,4.989,4.999,4.884,4.893,281088.0
2017-05-24,4.876,4.918,4.804,4.916,556653.0
2017-05-25,4.918,4.979,4.854,4.956,604291.0
2017-05-26,4.956,4.988,4.938,4.96,380832.0
2017-05-31,5.024,5.048,4.928,4.931,455356.0
2017-06-01,4.923,4.931,4.834,4.835,317097.0
2017-06-02,4.815,4.908,4.787,4.894,746022.0
2017-06-05,4.91,4.952,4.906,4.925,538510.0
2017-06-06,4.916,4.959,4.898,4.95,311995.0
2017-06-07,4.952,5.068,4.943,5.066,680496.0
2017-06-08,5.067,5.074,5.043,5.063,323601.0
2017-06-09,5.062,5.091,5.035,5.083,486958.0
2017-06-12,5.062,5.062,5.009,5.015,320646.0
2017-06-13,5.009,5.107,5.008,5.092,461280.0
2017-06-14,5.092,5.104,5.066,5.074,226860.0
2017-06-15,5.069,5.137,5.065,5.123,301404.0
2017-06-16,5.126,5.136,5.11,5.119,183592.0
2017-06-19,5.12,5.167,5.11,5.159,381276.0
2017-06-20,5.165,5.201,5.162,5.176,358035.0
2017-06-21,5.179,5.186,5.142,5.186,350184.0
2017-06-22,5.192,5.209,5.104,5.106,421110.0
2017-06-23,5.111,5.125,5.045,5.123,538771.0
