date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,14.99,15.1,14.93,15.0,19128492.0,353770322.0,0.09,,600900.SH
2020-01-02,15.02,15.14,14.98,15.08,15438377.0,286562117.0,0.07,0.5333333333333412,600900.SH
2020-01-05,15.05,15.11,14.65,14.78,41550582.0,757921841.0,0.19,-1.9893899204244114,600900.SH
2020-01-06,14.79,14.82,14.7,14.77,23210668.0,421457432.0,0.11,-0.06765899864681346,600900.SH
2020-01-07,14.68,14.75,14.61,14.65,26440991.0,476879600.0,0.12,-0.8124576844955933,600900.SH
2020-01-08,14.71,14.72,14.59,14.69,22783272.0,410739697.0,0.1,0.27303754266210234,600900.SH
2020-01-09,14.67,14.71,14.6,14.61,21789472.0,392420935.0,0.1,-0.5445881552076259,600900.SH
2020-01-12,14.65,14.73,14.61,14.67,22600048.0,407709430.0,0.1,0.4106776180698102,600900.SH
2020-01-13,14.7,14.78,14.66,14.76,24428843.0,443161695.0,0.11,0.6134969325153339,600900.SH
2020-01-14,14.73,14.79,14.6,14.62,21077296.0,380964670.0,0.1,-0.9485094850948506,600900.SH
2020-01-15,14.63,14.68,14.57,14.63,14824270.0,266911505.0,0.07,0.06839945280439075,600900.SH
2020-01-16,14.53,14.62,14.36,14.4,38758259.0,688835469.0,0.18,-1.5721120984278913,600900.SH
2020-01-19,14.44,14.57,14.31,14.51,24809048.0,441190182.0,0.11,0.7638888888888751,600900.SH
2020-01-20,14.42,14.5,14.38,14.44,16378934.0,291027072.0,0.07,-0.4824259131633424,600900.SH
2020-01-21,14.44,14.44,14.22,14.29,23808493.0,419236233.0,0.11,-1.0387811634349098,600900.SH
2020-01-22,14.2,14.26,13.88,13.92,35236838.0,611103970.0,0.16,-2.58922323303008,600900.SH
2020-02-02,13.31,13.94,13.0,13.91,71860611.0,1204779054.0,0.33,-0.07183908045976795,600900.SH
2020-02-03,13.79,14.45,13.7,14.05,31544099.0,546552865.0,0.14,1.0064701653486718,600900.SH
2020-02-04,14.01,14.17,13.92,14.05,23123122.0,399598997.0,0.11,0.0,600900.SH
2020-02-05,14.17,14.17,13.99,14.16,19288954.0,334597543.0,0.09,0.782918149466183,600900.SH
2020-02-06,13.96,14.57,13.96,14.52,23702762.0,417417116.0,0.11,2.5423728813559254,600900.SH
2020-02-09,14.35,14.48,14.28,14.31,15774796.0,278841675.0,0.07,-1.4462809917355268,600900.SH
2020-02-10,14.34,14.48,14.26,14.29,13079044.0,231213180.0,0.06,-0.13976240391335715,600900.SH
2020-02-11,14.27,14.28,14.12,14.27,15671592.0,273942278.0,0.07,-0.13995801259621965,600900.SH
2020-02-12,14.22,14.32,14.17,14.29,12350031.0,216722523.0,0.06,0.14015416958654825,600900.SH
2020-02-13,14.22,14.32,14.18,14.31,9857564.0,173155130.0,0.04,0.13995801259623075,600900.SH
2020-02-16,14.29,14.38,14.25,14.36,14494830.0,255799598.0,0.07,0.34940600978337066,600900.SH
2020-02-17,14.31,14.35,14.22,14.22,12598724.0,221489390.0,0.06,-0.974930362116988,600900.SH
2020-02-18,14.22,14.28,14.18,14.22,13894298.0,243225363.0,0.06,0.0,600900.SH
2020-02-19,14.21,14.34,14.17,14.31,14517585.0,254753101.0,0.07,0.6329113924050667,600900.SH
2020-02-20,14.26,14.3,14.17,14.23,18204342.0,318976991.0,0.08,-0.5590496156533842,600900.SH
2020-02-23,14.2,14.23,14.11,14.13,17173530.0,299429208.0,0.08,-0.7027406886858767,600900.SH
