date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,1699,1703,1691,1694,631920,17532332400,0.0,,M.DCE
2020-01-02,1694,1702,1687,1688,851662,23629936600,0.0,-0.35419126328217754,M.DCE
2020-01-05,1685,1688,1667,1674,1002411,27506621300,0.0,-0.8293838862559189,M.DCE
2020-01-06,1674,1680,1672,1677,565047,15501755400,0.0,0.17921146953405742,M.DCE
2020-01-07,1674,1676,1659,1667,1141168,31152207799,0.0,-0.5963029218843174,M.DCE
2020-01-08,1668,1672,1653,1660,927967,25214832100,0.0,-0.4199160167966398,M.DCE
2020-01-09,1662,1664,1630,1630,1353066,36430216000,0.0,-1.8072289156626509,M.DCE
2020-01-12,1630,1639,1620,1623,1023036,27280235400,0.0,-0.4294478527607337,M.DCE
2020-01-13,1622,1634,1620,1625,802524,21345135900,0.0,0.12322858903266454,M.DCE
2020-01-14,1628,1648,1628,1646,1031707,27620120800,0.0,1.2923076923076815,M.DCE
2020-01-15,1646,1646,1632,1644,716186,19210820600,0.0,-0.12150668286755595,M.DCE
2020-01-16,1643,1644,1626,1639,702051,18791735700,0.0,-0.30413625304136493,M.DCE
2020-01-19,1639,1645,1633,1639,463085,12421024100,0.0,0.0,M.DCE
2020-01-20,1639,1661,1636,1656,900312,24270665500,0.0,1.0372178157413092,M.DCE
2020-01-21,1655,1655,1627,1637,741132,19858450000,0.0,-1.1473429951690872,M.DCE
2020-01-22,1637,1639,1611,1614,698419,18578567400,0.0,-1.4050091631032324,M.DCE
2020-02-02,1573,1587,1545,1577,820985,21105454000,0.0,-2.2924411400247813,M.DCE
2020-02-03,1582,1622,1582,1619,764551,20094486100,0.0,2.663284717818648,M.DCE
2020-02-04,1616,1622,1605,1611,496707,13102295700,0.0,-0.49413218035824213,M.DCE
2020-02-05,1611,1615,1599,1612,534013,14041314600,0.0,0.062073246430793816,M.DCE
2020-02-06,1614,1619,1608,1610,295453,7790097400,0.0,-0.1240694789081842,M.DCE
2020-02-09,1617,1628,1614,1623,573886,15226938400,0.0,0.8074534161490732,M.DCE
2020-02-10,1629,1630,1616,1624,455725,12092473300,0.0,0.061614294516321166,M.DCE
2020-02-11,1625,1628,1612,1614,481921,12775613500,0.0,-0.6157635467980316,M.DCE
2020-02-12,1616,1643,1615,1641,877635,23434363400,0.0,1.6728624535315983,M.DCE
2020-02-13,1642,1644,1624,1631,603097,16113157000,0.0,-0.6093845216331495,M.DCE
2020-02-16,1631,1642,1630,1639,397919,10660183000,0.0,0.49049662783569037,M.DCE
2020-02-17,1638,1639,1619,1623,559946,14899262000,0.0,-0.9762050030506453,M.DCE
