date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,2867,2903,2862,2901,1034459,65339054800,0.0,,P.DCE
2020-01-02,2913,2931,2880,2883,2002282,127548259300,0.0,-0.6204756980351611,P.DCE
2020-01-05,2898,2934,2875,2890,1831934,116443370800,0.0,0.24280263614291364,P.DCE
2020-01-06,2876,2907,2853,2903,1788748,112747818000,0.0,0.44982698961937295,P.DCE
2020-01-07,2892,2924,2872,2884,1602134,101517407600,0.0,-0.6544953496383066,P.DCE
2020-01-08,2880,2918,2865,2916,1863960,118073115399,0.0,1.109570041608876,P.DCE
2020-01-09,2920,2957,2893,2955,2288248,146575728400,0.0,1.337448559670773,P.DCE
2020-01-12,2953,2953,2885,2915,1733897,110987384300,0.0,-1.3536379018612488,P.DCE
2020-01-13,2901,2903,2838,2841,1964663,123326868600,0.0,-2.538593481989704,P.DCE
2020-01-14,2821,2864,2810,2815,1957505,121490892700,0.0,-0.915170714537139,P.DCE
2020-01-15,2807,2820,2784,2787,2137462,131143393200,0.0,-0.994671403197156,P.DCE
2020-01-16,2787,2806,2781,2797,1143525,69984396100,0.0,0.35880875493361497,P.DCE
2020-01-19,2776,2793,2757,2787,1329582,80791716900,0.0,-0.3575259206292425,P.DCE
2020-01-20,2797,2800,2694,2703,1596112,95875115100,0.0,-3.0139935414424057,P.DCE
2020-01-21,2724,2775,2689,2771,1405408,83972710100,0.0,2.515723270440251,P.DCE
2020-01-22,2790,2825,2742,2783,1402347,85596272600,0.0,0.4330566582461115,P.DCE
2020-02-02,2592,2592,2592,2592,122242,6938455900,0.0,-6.863097376931371,P.DCE
2020-02-03,2516,2617,2516,2580,730053,41183153600,0.0,-0.462962962962965,P.DCE
2020-02-04,2576,2636,2569,2635,859397,49126816800,0.0,2.131782945736438,P.DCE
2020-02-05,2656,2695,2652,2688,967490,56698757300,0.0,2.011385199240978,P.DCE
2020-02-06,2671,2701,2654,2699,782999,45848844100,0.0,0.40922619047618625,P.DCE
2020-02-09,2671,2688,2643,2646,779894,45536652400,0.0,-1.9636902556502411,P.DCE
2020-02-10,2641,2660,2593,2598,1111110,64012673000,0.0,-1.814058956916098,P.DCE
2020-02-11,2603,2611,2535,2554,1228689,69071347500,0.0,-1.6936104695919885,P.DCE
2020-02-12,2571,2581,2522,2547,1492111,83456467200,0.0,-0.27407987470634554,P.DCE
2020-02-13,2546,2546,2500,2515,1358460,74958317200,0.0,-1.2563800549666326,P.DCE
2020-02-16,2517,2566,2516,2558,992975,55325219700,0.0,1.7097415506958313,P.DCE
2020-02-17,2555,2567,2512,2517,1048472,58187552300,0.0,-1.602814698983579,P.DCE
2020-02-18,2522,2538,2481,2486,1365090,74847265700,0.0,-1.2316249503377064,P.DCE
2020-02-19,2471,2517,2459,2513,1579869,85888820200,0.0,1.0860820595333776,P.DCE
2020-02-20,2514,2536,2500,2507,1176612,64888623700,0.0,-0.23875845602865375,P.DCE
