date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,3383,3392,3342,3348,976947,34809970230,0.0,,RB.SHF
2020-01-02,3348,3367,3343,3344,778292,27649343400,0.0,-0.11947431302270495,RB.SHF
2020-01-05,3342,3366,3328,3359,966449,34306976740,0.0,0.44856459330142595,RB.SHF
2020-01-06,3359,3379,3357,3374,708368,25282732950,0.0,0.4465614766299586,RB.SHF
2020-01-07,3374,3418,3371,3414,1051293,37873258560,0.0,1.1855364552459946,RB.SHF
2020-01-08,3414,3419,3351,3356,1162066,41692412800,0.0,-1.698886936145283,RB.SHF
2020-01-09,3359,3382,3356,3371,641895,22905174900,0.0,0.4469606674612603,RB.SHF
2020-01-12,3365,3367,3331,3332,864329,30678293190,0.0,-1.1569267279738948,RB.SHF
2020-01-13,3330,3372,3321,3370,916208,32496522040,0.0,1.140456182472982,RB.SHF
2020-01-14,3370,3377,3339,3339,866185,30808974770,0.0,-0.9198813056379818,RB.SHF
2020-01-15,3339,3376,3337,3365,913755,32518785740,0.0,0.778676250374355,RB.SHF
2020-01-16,3365,3406,3362,3393,919377,32970890900,0.0,0.8320950965824636,RB.SHF
2020-01-19,3397,3415,3387,3403,652366,23504458460,0.0,0.29472443265545767,RB.SHF
2020-01-20,3403,3404,3356,3370,887469,31724578080,0.0,-0.9697325888921582,RB.SHF
2020-01-21,3365,3368,3309,3359,1161870,41091307320,0.0,-0.3264094955489627,RB.SHF
2020-01-22,3352,3353,3295,3304,901368,31683683339,0.0,-1.6373920809764853,RB.SHF
2020-02-02,3052,3109,3052,3052,1223078,39861679670,0.0,-7.6271186440677985,RB.SHF
2020-02-03,3029,3146,3027,3126,1385797,45531965350,0.0,2.424639580602883,RB.SHF
2020-02-04,3113,3138,3098,3112,1028552,33950204060,0.0,-0.44785668586052596,RB.SHF
2020-02-05,3112,3130,3087,3119,1139425,37549763880,0.0,0.22493573264781297,RB.SHF
2020-02-06,3115,3153,3105,3139,851755,28189271519,0.0,0.6412311638345658,RB.SHF
2020-02-09,3123,3135,3095,3120,889861,29392364610,0.0,-0.6052883083784599,RB.SHF
2020-02-10,3130,3292,3119,3202,2293748,77845078130,0.0,2.628205128205119,RB.SHF
2020-02-11,3219,3231,3192,3213,1088528,37062236860,0.0,0.3435352904434641,RB.SHF
2020-02-12,3209,3232,3193,3205,1051409,35744372770,0.0,-0.24898848428259734,RB.SHF
2020-02-13,3201,3213,3176,3207,988231,33454210839,0.0,0.062402496099833726,RB.SHF
2020-02-16,3203,3244,3196,3235,1125505,38419008120,0.0,0.8730901153726212,RB.SHF
2020-02-17,3234,3241,3196,3200,1145614,39064295490,0.0,-1.081916537867078,RB.SHF
