date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,537.0,538.0,534.0,536.0,11787,5679404900,0.0,,SC.INE
2020-01-02,535.0,559.0,533.0,556.0,51402,25100745700,0.0,3.731343283582089,SC.INE
2020-01-05,560.0,576.0,554.0,575.0,90369,45785767800,0.0,3.4172661870503607,SC.INE
2020-01-06,569.0,571.0,555.0,559.0,90211,45768362600,0.0,-2.782608695652178,SC.INE
2020-01-07,558.0,590.0,555.0,566.0,137033,69662737900,0.0,1.2522361359570633,SC.INE
2020-01-08,557.0,560.0,533.0,536.0,148785,73271194000,0.0,-5.300353356890463,SC.INE
2020-01-09,537.0,538.0,530.0,533.0,98522,47203921300,0.0,-0.5597014925373123,SC.INE
2020-01-12,535.0,535.0,527.0,531.0,84094,40180191800,0.0,-0.37523452157598447,SC.INE
2020-01-13,530.0,531.0,514.0,518.0,94882,44617059500,0.0,-2.4482109227871973,SC.INE
2020-01-14,521.0,524.0,515.0,516.0,71774,33509053300,0.0,-0.38610038610038533,SC.INE
2020-01-15,517.0,518.0,511.0,516.0,75761,35030671100,0.0,0.0,SC.INE
2020-01-16,513.0,521.0,513.0,517.0,72015,33517610700,0.0,0.19379844961240345,SC.INE
2020-01-19,518.0,524.0,516.0,519.0,65715,30625022700,0.0,0.3868471953578423,SC.INE
2020-01-20,518.0,519.0,512.0,513.0,47983,22254717599,0.0,-1.1560693641618491,SC.INE
2020-01-21,512.0,517.0,509.0,512.0,54377,25072115800,0.0,-0.19493177387914784,SC.INE
2020-01-22,510.0,511.0,494.0,498.0,66758,30156224600,0.0,-2.734375,SC.INE
2020-02-02,463.0,463.0,463.0,463.0,771,320350500,0.0,-7.028112449799195,SC.INE
2020-02-03,434.0,445.0,423.0,443.0,24178,9535831700,0.0,-4.3196544276457916,SC.INE
2020-02-04,434.0,446.0,434.0,441.0,17003,6797760400,0.0,-0.4514672686230292,SC.INE
2020-02-05,450.0,455.0,446.0,452.0,25588,10431121800,0.0,2.4943310657596474,SC.INE
2020-02-06,449.0,451.0,445.0,448.0,21457,8683842100,0.0,-0.8849557522123908,SC.INE
2020-02-09,433.0,444.0,433.0,442.0,24122,9628269600,0.0,-1.3392857142857095,SC.INE
2020-02-10,439.0,443.0,438.0,440.0,29529,11758969200,0.0,-0.4524886877828038,SC.INE
2020-02-11,440.0,446.0,440.0,446.0,35605,14301927000,0.0,1.3636363636363669,SC.INE
2020-02-12,449.0,454.0,448.0,449.0,33153,13516454900,0.0,0.6726457399103047,SC.INE
2020-02-13,454.0,454.0,449.0,451.0,25236,10292072000,0.0,0.44543429844097204,SC.INE
2020-02-16,454.0,455.0,452.0,454.0,23664,9696404200,0.0,0.6651884700665134,SC.INE
2020-02-17,453.0,454.0,449.0,449.0,24445,9968836600,0.0,-1.1013215859030812,SC.INE
2020-02-18,453.0,459.0,450.0,457.0,33957,13970604100,0.0,1.7817371937639104,SC.INE
2020-02-19,463.0,467.0,461.0,464.0,27734,11639679300,0.0,1.5317286652078765,SC.INE
2020-02-20,462.0,464.0,457.0,459.0,24528,10220323900,0.0,-1.0775862068965525,SC.INE
2020-02-23,448.0,448.0,442.0,443.0,29599,11876322500,0.0,-3.4858387799564294,SC.INE
