date,open,high,low,close,volume,amount,turn,pct_change,windcode
2020-01-01,4987,5038,4961,4979,218012,12183483300,0.0,,SR.CZC
2020-01-02,4988,5000,4950,4976,195211,10878598300,0.0,-0.0602530628640241,SR.CZC
2020-01-05,4987,5005,4970,4973,207980,11611166700,0.0,-0.0602893890675249,SR.CZC
2020-01-06,4983,5115,4977,5108,559282,31675896300,0.0,2.714659159461097,SR.CZC
2020-01-07,5110,5122,5087,5112,279419,15976235700,0.0,0.0783085356303781,SR.CZC
2020-01-08,5116,5133,5075,5098,324090,18520886100,0.0,-0.27386541471048353,SR.CZC
2020-01-09,5100,5177,5098,5170,398502,22958784600,0.0,1.4123185562965768,SR.CZC
2020-01-12,5176,5287,5176,5215,541005,31677398900,0.0,0.8704061895551174,SR.CZC
2020-01-13,5231,5256,5212,5235,354661,20789839300,0.0,0.3835091083413289,SR.CZC
2020-01-14,5259,5267,5173,5214,409125,23930524500,0.0,-0.40114613180515235,SR.CZC
2020-01-15,5212,5276,5203,5233,445191,26105055600,0.0,0.36440352896049966,SR.CZC
2020-01-16,5232,5239,5204,5221,340402,19901972800,0.0,-0.22931396904261048,SR.CZC
2020-01-19,5226,5232,5095,5112,565253,32592144000,0.0,-2.0877226584945396,SR.CZC
2020-01-20,5102,5114,5068,5071,284494,16220196900,0.0,-0.8020344287949954,SR.CZC
2020-01-21,5073,5104,4998,5063,335694,19067420900,0.0,-0.15775981068822942,SR.CZC
2020-01-22,5083,5101,5018,5020,212567,12039025500,0.0,-0.8492988346829988,SR.CZC
2020-02-02,4901,4936,4733,4895,323182,17650455100,0.0,-2.490039840637448,SR.CZC
2020-02-03,4920,5072,4920,5072,341021,19218043900,0.0,3.6159346271705806,SR.CZC
2020-02-04,5062,5077,5028,5056,258119,14604420300,0.0,-0.3154574132492094,SR.CZC
2020-02-05,5071,5154,5060,5148,358707,20570819400,0.0,1.8196202531645556,SR.CZC
2020-02-06,5140,5163,5112,5155,259002,14902255900,0.0,0.13597513597514155,SR.CZC
2020-02-09,5159,5197,5123,5136,491927,28428238700,0.0,-0.36857419980601547,SR.CZC
2020-02-10,5142,5152,5095,5116,323326,18532566300,0.0,-0.3894080996884708,SR.CZC
2020-02-11,5148,5189,5104,5154,499142,28772787300,0.0,0.7427677873338645,SR.CZC
2020-02-12,5170,5180,5122,5141,354494,20441088100,0.0,-0.25223127667830525,SR.CZC
2020-02-13,5097,5117,5046,5062,435802,24743624200,0.0,-1.5366660182843828,SR.CZC
2020-02-16,5062,5185,5062,5170,611849,35246327200,0.0,2.1335440537336936,SR.CZC
2020-02-17,5139,5149,5112,5133,357745,20556398900,0.0,-0.7156673114119938,SR.CZC
2020-02-18,5153,5175,5131,5136,342602,19751669100,0.0,0.058445353594382965,SR.CZC
2020-02-19,5144,5160,5123,5158,317099,18262754500,0.0,0.42834890965732786,SR.CZC
2020-02-20,5145,5229,5132,5156,615279,35689512800,0.0,-0.03877471888328321,SR.CZC
2020-02-23,5164,5209,5157,5199,444869,25857480299,0.0,0.8339798293250489,SR.CZC
2020-02-24,5153,5199,5135,5185,339967,19706089400,0.0,-0.2692825543373689,SR.CZC
2020-02-25,5176,5207,5113,5120,431716,24934773600,0.0,-1.253616200578589,SR.CZC
2020-02-26,5095,5147,5094,5121,321016,18422131500,0.0,0.01953125000000444,SR.CZC
